account_number,bank_name,dt_current_timestamp,iban,id,routing_number,swift_bic,uid,user_id
6065627016,ABC INTERNATIONAL BANK PLC,1621352240037,GB41CDYU50634628974447,182,725702816,AAHOGB21,b9b06c77-69b8-4452-902c-511d91a30b54,6309
4658596328,SANTANDER UK PLC,1621352240037,GB92BCDO13432886888017,1817,085651830,ALEIGB22TSY,a1c12060-80dd-4150-83da-0086c5576506,5929
1314034863,PGMS (GLASGOW) LIMITED,1621352240037,GB74HMEY58892164175754,2091,291525446,ABMNGB21,cbcb881b-aba8-492f-8da4-d8e525a1e16e,4414
6339086555,PGMS (GLASGOW) LIMITED,1621352240037,GB16ODGB93021201058675,4567,127733881,BOFAGB4TCCD,e37bffac-e799-4042-a5c8-d1c2d8860b87,9618
7376853048,ABN AMRO CORPORATE FINANCE LIMITED,1621352240037,GB43ZSXQ71803903126354,6610,804605258,ABDIGB21,33220247-abe3-4dea-a960-1bb9eae65391,882
5707363307,ABBEY LIFE,1621352240037,GB91MOJV70853328918146,8313,279560151,AIBKGB2XTSY,249e108b-afae-416a-ba1a-26907786028b,2379
7993987750,ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.,1621352240037,GB70INOU97303852561495,7124,313060481,BCYPGB2LPGB,aeb9b6e9-2fd4-4c3c-b694-8888d4915479,2964
7154792828,ALLIED BANK PHILIPPINES (UK) PLC,1621352240037,GB18ACDB03779006344047,9289,277519609,ABFIGB21,611ff790-3d7e-4f73-b9e9-aa32c7a3398d,8867
9008708143,ALKEN ASSET MANAGEMENT,1621352240037,GB21KSHP93764301843091,3703,322330403,ANTSGB2LCHA,95893a90-aa4a-4cd6-8805-c654ae4a0675,6897
2986217748,ALKEN ASSET MANAGEMENT,1621352240037,GB39EIGL82974198691859,6019,276096848,BCYPGB2LMBB,c0816e04-379c-466f-881c-cc2648b1f887,974
4722319031,THE ROYAL BANK OF SCOTLAND PLC (FORMER RBS NV),1621352240037,GB61OILG11261570515503,5747,668407265,BOFAGB4TCCD,b147267e-a7d1-414f-ac4f-269522111e5f,7487
4349495766,ABINGWORTH MANAGEMENT LIMITED,1621352240037,GB13GTEV24993140251229,6583,687090297,BCYPGB2LMBB,86e83d63-633a-465a-921f-1feae3fed05e,9385
4170302175,PGMS (GLASGOW) LIMITED,1621352240037,GB84UQVN70215173507440,6788,296721724,BOFAGB22CLS,515211f8-456f-46e8-acb7-76bb86e75ef0,623
3798544946,ALKEN ASSET MANAGEMENT,1621352240037,GB11QZKH53529833749804,334,229140877,ABMNGB21,ee93874b-d5ea-4617-b99c-59fbcee5d9e4,7365
2986786899,ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST,1621352240037,GB70RDTO85991450717802,3234,116588458,BSABGB2LXXX,9f310676-215c-47d3-835c-8be58fb7218d,7746
0996996440,ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST,1621352240037,GB15JFXX45313735718370,5872,304406986,BARBGB2LKIL,4edb7e9c-f24d-41f5-8b40-5db127639ca4,2713
1524250707,ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.,1621352240037,GB25ZBPN51044836502393,1336,053841902,ASTPGB2LXXX,bdb3d05c-8f5c-46a7-b189-44d7e1539ab1,7583
6231937421,ABC INTERNATIONAL BANK PLC,1621352240037,GB72LPXZ24200959463040,3323,222452627,AACCGB21,8662cf54-c79e-4d94-99a6-f7da28adc793,3835
