account_number,bank_name,dt_current_timestamp,iban,id,routing_number,swift_bic,uid,user_id
9015971456,ABN AMRO HOARE GOVETT SECURITIES,1619454557330,GB21HCRO99572348166537,102,103784249,BOFAGB4TLTR,8bbe2f2f-0b7b-4a7f-9b41-632b0f62a6a7,8823
7559729504,ABU DHABI ISLAMIC BANK,1619454557330,GB47NWEK89764091489760,7663,329902119,AACCGB21,a7a1851f-a157-4430-81a8-d62794ea3686,1284
9579663831,UBS CLEARING AND EXECUTION SERVICES LIMITED,1619454557330,GB12ALHQ96248810606189,2147,625893346,AAPUGB21,09e2402e-5c1c-4889-ac5a-4f0c552a3131,9552
0578673720,ABN AMRO HOARE GOVETT SECURITIES,1619454557330,GB38NBTL20797505055643,8583,286940997,BCYPGB2LMBB,82fe6409-181c-469f-b506-e4d92226d0a8,8799
6708887811,ALKEN ASSET MANAGEMENT,1619454557330,GB54XHIZ27034635606994,7228,679071295,BCYPGB2LHHB,8bed0a03-c369-414e-b3c8-b8fcb845ba8e,3454
2795238181,ABN AMRO MEZZANINE (UK) LIMITED,1619454557330,GB55CMTT62966478803929,7380,307247760,MORLGB2LSMK,988dfc58-b96d-4c65-9e20-ee2eb109c829,4565
1137843427,ABN AMRO FUND MANAGERS LIMITED,1619454557330,GB25YSNI49656915748549,3782,277060161,BOFAGB4TCDO,71a69da3-e483-451c-89c5-a48c975fb657,2142
8250450354,ALKEN ASSET MANAGEMENT,1619454557330,GB30QDOY63359340281922,2202,322525195,BOFAGB22SCP,f4f3cce6-82bb-45bf-858d-bb41dad34e38,3582
9865560796,ABINGWORTH MANAGEMENT LIMITED,1619454557330,GB15LBCS44706304900735,4242,034865415,AAPUGB21,dd3270a3-ff59-46ec-b487-ea1e24625021,9641
5766297480,PGMS (GLASGOW) LIMITED,1619454557330,GB54NPIC33568910492237,9832,091864200,AANLGB2L,54155afd-968e-49b8-a275-ae2848e8a51a,6568
3974262091,ABINGWORTH MANAGEMENT LIMITED,1619454557330,GB34IGZA63589121609001,7116,120933345,AACNGB21,15b3494a-8d1f-4f8b-b730-3cd056d09bcf,3129
3897227039,ABINGWORTH MANAGEMENT LIMITED,1619454557330,GB72LCNJ40623791212325,1859,709929916,BARBGB2LTOO,c3b97898-6f73-46b3-9209-7dd5dbf5254b,7913
4092422598,ALKEN ASSET MANAGEMENT,1619454557330,GB33RKBE19808427077891,1022,307495101,BOFAGB4TCCD,478e7959-1d5b-48c1-b7aa-898e2c246238,4098
1674970500,ABU DHABI ISLAMIC BANK,1619454557330,GB71EHOM15802781088118,3593,041333134,ANTSGB2LXXX,75804674-5a6d-4b4b-95c3-4d1e685ecc78,1619
9104595477,ALKEN ASSET MANAGEMENT,1619454557330,GB51XGFG41777220832387,8857,290023499,UBKLGB2LBAK,1827ed12-00db-4364-9833-2c701de32de7,9952
7510317426,PGMS (GLASGOW) LIMITED,1619454557330,GB66CPIM11556187958456,901,102146875,ABMNGB21,ab20010b-cdc6-4f7d-861c-228aa5b58f31,974
9931245766,ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.,1619454557330,GB38IMNA69337681321569,3231,238547843,AAHOGB21,20379503-0da7-4b3d-b4a1-d5a3781bebc9,6606
5180818381,OTKRITIE SECURITIES LIMITED,1619454557330,GB70VBSF27930550905868,6324,306411953,BSABGB2LXXX,a11c79cb-91d4-40d2-ad45-2e9cf37bf745,2229
1132279966,ABN AMRO FUND MANAGERS LIMITED,1619454557330,GB12IHFO22198499496507,6245,265653739,AKBKGB22XXX,06e4f51a-9e40-4fe1-961e-26bed4208c51,6412
4018916349,AAC CAPITAL PARTNERS LIMITED,1619454557330,GB94WHWZ74865893900231,1500,707133050,BCYPGB2LXXX,6b64ff35-734e-4e0c-aa80-09ea43450a5f,4080
6171590554,ABN AMRO FUND MANAGERS LIMITED,1619454557330,GB39KBDF81711056517485,96,718575775,AKBKGB22XXX,e13c439b-fb5a-4739-822c-faea0953242a,4040
2437072222,ABN AMRO MEZZANINE (UK) LIMITED,1619454557330,GB02CRHP55311092807299,8789,631324760,BCYPGB2LHGB,00ddde9b-4fa1-43c4-b96b-01150f02a85e,9830
1102925953,ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST,1619454557330,GB03QGPM49537979307058,7637,221674396,BSABGB2LXXX,7ae87b82-93a0-49a7-be12-3a696754c020,6213
0215887082,ABN AMRO HOARE GOVETT LIMITED,1619454557330,GB41CALE90944215043488,1176,242278454,BOFAGB22OF2,b7cabc2f-dbcc-4f04-a2d5-28a14c80974c,8785
1221483173,ABN AMRO HOARE GOVETT SECURITIES,1619454557330,GB13CHRU58131382184252,7882,022392657,ABCMGB21,fc4e293a-b17d-4e07-bc37-1f39a23258f0,7913
